iter	Passed	Remaining
455	925	1104
456	927	1102
457	929	1099
458	931	1097
459	933	1095
460	934	1092
461	936	1090
462	938	1088
463	940	1085
464	941	1083
465	943	1080
466	944	1078
467	947	1076
468	948	1074
469	950	1072
470	952	1069
471	954	1067
472	956	1065
473	957	1063
474	959	1060
475	991	1091
476	994	1089
477	996	1087
478	998	1085
479	999	1083
480	1002	1081
481	1004	1079
482	1006	1077
483	1008	1075
484	1010	1072
485	1012	1070
486	1014	1068
487	1015	1065
488	1017	1062
489	1019	1060
490	1021	1058
491	1023	1056
492	1025	1054
493	1027	1052
494	1029	1049
495	1030	1047
496	1032	1044
497	1033	1042
498	1035	1039
499	1037	1037
500	1039	1035
501	1040	1032
502	1042	1030
503	1044	1028
504	1046	1025
505	1047	1022
506	1049	1020
507	1051	1018
508	1053	1016
509	1055	1013
510	1057	1011
511	1058	1009
512	1060	1007
513	1062	1004
514	1064	1002
515	1066	1000
516	1068	998
517	1070	995
518	1071	993
519	1073	991
520	1075	989
521	1077	986
522	1079	984
523	1080	981
524	1082	979
525	1084	977
526	1086	974
527	1088	972
528	1090	970
529	1092	968
530	1093	966
531	1095	963
532	1097	961
533	1099	959
534	1101	957
535	1102	954
536	1105	952
537	1106	950
538	1108	947
539	1109	945
540	1112	943
541	1114	941
542	1118	941
543	1121	939
544	1122	937
545	1124	935
546	1126	932
547	1128	930
548	1130	928
549	1132	926
550	1134	924
551	1136	922
552	1137	919
553	1139	917
554	1141	915
555	1143	912
556	1144	910
557	1146	908
558	1148	905
559	1149	903
560	1151	901
561	1153	898
562	1154	896
563	1156	894
564	1158	891
565	1160	889
566	1161	887
567	1163	885
568	1165	882
569	1166	880
570	1168	877
571	1170	875
572	1173	874
573	1175	872
574	1177	870
575	1179	868
576	1182	866
577	1184	864
578	1186	862
579	1189	861
580	1191	859
581	1193	857
582	1195	854
583	1197	852
584	1198	850
585	1200	848
586	1202	846
587	1205	844
588	1207	842
589	1208	840
590	1210	837
591	1212	835
592	1214	833
593	1216	831
594	1218	829
595	1221	827
596	1224	826
597	1227	825
598	1229	823
599	1231	820
600	1233	818
601	1234	816
602	1236	814
603	1238	811
604	1239	809
605	1241	807
606	1243	805
607	1245	802
608	1246	800
609	1248	797
610	1249	795
611	1251	793
612	1253	791
613	1255	789
614	1257	787
615	1258	784
616	1260	782
617	1262	780
618	1264	778
619	1266	776
620	1268	774
621	1270	771
622	1272	769
623	1274	767
624	1275	765
625	1277	763
626	1279	761
627	1281	759
628	1282	756
629	1285	754
630	1286	752
631	1288	750
632	1290	748
633	1292	746
634	1294	743
635	1295	741
636	1297	739
637	1299	737
638	1302	735
639	1304	733
640	1307	732
641	1308	729
642	1310	727
643	1312	725
644	1315	724
645	1317	722
646	1320	720
647	1322	718
648	1324	716
649	1326	714
650	1329	712
651	1331	710
652	1334	709
653	1338	707
654	1340	705
655	1342	703
656	1344	701
657	1346	699
658	1348	697
659	1350	695
660	1352	693
661	1354	691
662	1356	689
663	1358	687
664	1359	685
665	1361	682
666	1363	680
667	1365	678
668	1367	676
669	1369	674
670	1370	672
671	1372	669
672	1374	667
673	1383	669
674	1392	670
675	1400	671
676	1410	672
677	1416	672
678	1424	673
679	1431	673
680	1438	673
681	1449	675
682	1456	675
683	1468	678
684	1475	678
685	1482	678
686	1494	680
687	1502	681
688	1510	681
689	1516	681
690	1517	678
691	1521	677
692	1523	674
693	1525	672
694	1527	670
695	1530	668
696	1532	666
697	1534	664
698	1536	661
699	1538	659
700	1540	657
701	1542	654
702	1544	652
703	1551	652
704	1556	651
705	1564	651
706	1570	650
707	1574	649
708	1576	647
709	1578	644
710	1580	642
711	1582	639
712	1584	637
713	1586	635
714	1587	632
715	1589	630
716	1591	628
717	1593	625
718	1595	623
719	1597	621
720	1600	619
721	1603	617
722	1605	615
723	1608	613
724	1612	611
725	1617	610
726	1620	608
727	1624	606
728	1627	605
729	1632	603
730	1636	602
731	1639	600
732	1645	599
733	1648	597
734	1652	595
735	1656	594
736	1660	592
737	1663	590
738	1669	589
739	1671	587
740	1674	585
741	1677	583
742	1679	580
743	1682	578
744	1685	576
745	1687	574
746	1690	572
747	1692	570
748	1694	567
749	1698	566
750	1699	563
751	1701	561
752	1705	559
753	1707	556
754	1709	554
755	1712	552
756	1714	550
757	1717	548
758	1719	545
759	1722	544
760	1725	541
761	1727	539
762	1729	537
763	1731	534
764	1733	532
765	1735	530
766	1737	527
767	1739	525
768	1741	523
769	1743	520
770	1744	518
771	1746	515
772	1749	513
773	1751	511
774	1752	508
775	1754	506
776	1756	504
777	1758	501
778	1759	499
779	1761	496
780	1763	494
781	1765	492
782	1767	489
783	1769	487
784	1771	485
785	1772	482
786	1774	480
787	1776	477
788	1778	475
789	1782	473
790	1785	471
791	1787	469
792	1789	467
793	1790	464
794	1792	462
795	1794	459
796	1796	457
797	1798	455
798	1799	452
799	1801	450
800	1803	448
801	1805	445
802	1807	443
803	1809	441
804	1810	438
805	1813	436
806	1815	434
807	1816	431
808	1818	429
809	1820	426
810	1821	424
811	1823	422
812	1825	419
813	1827	417
814	1829	415
815	1830	412
816	1832	410
817	1834	408
818	1836	405
819	1838	403
820	1840	401
821	1842	398
822	1843	396
823	1845	394
824	1847	391
825	1849	389
826	1850	387
827	1852	384
828	1854	382
829	1856	380
830	1858	377
831	1860	375
832	1862	373
833	1864	371
834	1865	368
835	1866	366
836	1868	363
837	1870	361
838	1873	359
839	1874	357
840	1876	354
841	1878	352
842	1879	350
843	1881	347
844	1883	345
845	1884	343
846	1886	340
847	1888	338
848	1890	336
849	1892	334
850	1894	331
851	1895	329
852	1897	326
853	1898	324
854	1900	322
855	1903	320
856	1905	317
857	1907	315
858	1911	313
859	1913	311
860	1914	309
861	1916	306
862	1918	304
863	1920	302
864	1922	300
865	1924	297
866	1925	295
867	1927	293
868	1928	290
869	1930	288
870	1932	286
871	1934	283
872	1936	281
873	1937	279
874	1939	277
875	1941	274
876	1942	272
877	1944	270
878	1946	267
879	1948	265
880	1950	263
881	1952	261
882	1954	258
883	1956	256
884	1958	254
885	1959	252
886	1961	249
887	1963	247
888	1965	245
889	1967	243
890	1968	240
891	1970	238
892	1972	236
893	1974	234
894	1975	231
895	1977	229
896	1979	227
897	1981	225
898	1983	222
899	1985	220
900	1986	218
901	1988	216
902	1990	213
903	1991	211
904	1993	209
905	1995	207
906	1997	204
907	1999	202
908	2000	200
909	2002	198
910	2004	195
911	2006	193
912	2008	191
913	2010	189
914	2012	186
915	2014	184
916	2016	182
917	2017	180
918	2019	178
919	2021	175
920	2023	173
921	2025	171
922	2027	169
923	2028	166
924	2031	164
925	2032	162
926	2034	160
927	2037	158
928	2040	155
929	2043	153
930	2045	151
931	2047	149
932	2049	147
933	2051	144
934	2052	142
935	2054	140
936	2056	138
937	2058	136
938	2059	133
939	2061	131
940	2063	129
941	2065	127
942	2066	124
943	2068	122
944	2070	120
945	2072	118
946	2074	116
947	2075	113
948	2077	111
949	2078	109
950	2080	107
951	2082	104
952	2084	102
953	2086	100
954	2087	98
955	2089	96
956	2091	93
957	2093	91
958	2094	89
959	2096	87
960	2098	85
961	2100	82
962	2102	80
963	2103	78
964	2105	76
965	2107	74
966	2108	71
967	2110	69
968	2112	67
969	2114	65
970	2136	63
971	2148	61
972	2159	59
973	2168	57
974	2177	55
975	2184	53
976	2191	51
977	2200	49
978	2212	47
979	2214	45
980	2224	43
981	2230	40
982	2263	39
983	2264	36
984	2270	34
985	2275	32
986	2277	29
987	2279	27
988	2283	25
989	2286	23
990	2287	20
991	2290	18
992	2295	16
993	2299	13
994	2304	11
995	2308	9
996	2311	6
997	2313	4
998	2315	2
999	2317	0
